r1,r2,r3,location
-66,-54,-62,DEPT COMPUTER SCIENCE
-67,-53,-62,DEPT COMPUTER SCIENCE
-67,-52,-62,DEPT COMPUTER SCIENCE
-63,-53,-60,DEPT COMPUTER SCIENCE
-79,-71,-58,WASHROOM
-81,-68,-58,WASHROOM
-79,-71,-59,WASHROOM
-79,-71,-62,WASHROOM
-82,-69,-60,WASHROOM
-67,-67,-67,PATHWAY
-70,-70,-70,PATHWAY
-67,-68,-70,PATHWAY
-69,-69,-69,PATHWAY
-66,-67,-69,PATHWAY
-57,-49,-90,SLOPE UP
-57,-49,-92,SLOPE UP
-57,-46,-92,SLOPE UP
-60,-46,-92,SLOPE UP
-60,-49,-91,SLOPE UP
-51,-89,-45,SLOPE DOWN
-53,-89,-48,SLOPE DOWN
-53,-89,-48,SLOPE DOWN
-51,-90,-45,SLOPE DOWN
-52,-89,-44,SLOPE DOWN
-49,-81,-89,STAFFS LIFT
-50,-81,-90,STAFFS LIFT
-48,-78,-90,STAFFS LIFT
-50,-82,-90,STAFFS LIFT
-48,-79,-86,STAFFS LIFT
-86,-79,-50,FACULTY
-86,-80,-49,FACULTY
-90,-76,-50,FACULTY
-89,-77,-50,FACULTY
-86,-79,-46,FACULTY
-78,-57,-68,STAIRCASE UP LEFT
-82,-54,-68,STAIRCASE UP LEFT
-78,-53,-70,STAIRCASE UP LEFT
-80,-56,-70,STAIRCASE UP LEFT
-81,-55,-69,STAIRCASE UP LEFT
-76,-58,-71,STAIRCASE DOWN LEFT
-75,-60,-74,STAIRCASE DOWN LEFT
-74,-56,-70,STAIRCASE DOWN LEFT
-77,-60,-70,STAIRCASE DOWN LEFT
-76,-56,-72,STAIRCASE DOWN LEFT
-71,-64,-74,TOILET LEFT
-71,-64,-72,TOILET LEFT
-71,-63,-70,TOILET LEFT
-70,-62,-70,TOILET LEFT
-72,-62,-72,TOILET LEFT
-68,-69,-78,DEPT CHEMISTRY
-68,-70,-76,DEPT CHEMISTRY
-67,-68,-78,DEPT CHEMISTRY
-64,-69,-78,DEPT CHEMISTRY
-67,-68,-76,DEPT CHEMISTRY
-67,-70,-77,CHEMISTRY LAB
-70,-69,-75,CHEMISTRY LAB
-70,-72,-75,CHEMISTRY LAB
-69,-70,-76,CHEMISTRY LAB
-67,-68,-74,CHEMISTRY LAB
-58,-74,-82,DEPT PHYSICS
-62,-73,-78,DEPT PHYSICS
-62,-72,-78,DEPT PHYSICS
-58,-73,-79,DEPT PHYSICS
-61,-74,-80,DEPT PHYSICS
-62,-76,-78,PHYSICS LAB
-63,-75,-80,PHYSICS LAB
-62,-72,-77,PHYSICS LAB
-60,-75,-79,PHYSICS LAB
-63,-75,-77,PHYSICS LAB
-40,-86,-65,COMPUTER CENTRE
-37,-86,-65,COMPUTER CENTRE
-39,-87,-64,COMPUTER CENTRE
-40,-84,-66,COMPUTER CENTRE
-39,-84,-65,COMPUTER CENTRE
-30,-93,-81,CENTRAL COMPUTING LAB
-32,-93,-79,CENTRAL COMPUTING LAB
-30,-92,-82,CENTRAL COMPUTING LAB
-30,-92,-78,CENTRAL COMPUTING LAB
-29,-90,-80,CENTRAL COMPUTING LAB
-58,-58,-56,CORRIDOR TOP LEFT
-57,-54,-56,CORRIDOR TOP LEFT
-58,-58,-54,CORRIDOR TOP LEFT
-55,-56,-56,CORRIDOR TOP LEFT
-55,-54,-54,CORRIDOR TOP LEFT
-47,-44,-43,CORRIDOR TOP RIGHT
-46,-45,-47,CORRIDOR TOP RIGHT
-44,-47,-43,CORRIDOR TOP RIGHT
-43,-46,-45,CORRIDOR TOP RIGHT
-44,-47,-45,CORRIDOR TOP RIGHT
-63,-65,-67,CORRIDOR MAIN
-65,-63,-65,CORRIDOR MAIN
-64,-65,-64,CORRIDOR MAIN
-65,-63,-66,CORRIDOR MAIN
-66,-64,-64,CORRIDOR MAIN
